Word,E,P,A
SPACIOUS,6.33,3.7,5.91
SPADE,5.48,3.74,4.88
SPAGHETTI,6.91,4.04,5.92
SPAM,3.1,3.83,3.95
SPAN,5.74,3.1,5.78
SPANDEX,4.6,4.17,4.23
SPANIEL,5.67,4.15,5.14
SPANK,3.76,5.91,4.76
SPANKING,3.0,5.98,4.62
SPAR,5.43,3.36,4.96
SPARE,5.57,4.45,5.63
SPARERIBS,6.14,5.43,6.71
SPARK,6.05,5.83,4.9
SPARKLE,7.1,4.74,5.64
SPARKLING,6.47,4.91,6.48
SPARKLY,6.7,6.55,5.12
SPARROW,6.58,3.78,4.68
SPASM,3.17,5.24,3.26
SPASTIC,3.95,5.05,3.38
SPATIAL,4.73,3.38,5.88
SPATTER,4.1,3.4,4.68
SPATULA,5.14,2.86,6.41
SPAWN,4.85,4.0,5.61
SPEAK,5.91,4.19,5.89
SPEAKEASY,5.89,5.3,5.7
SPEAKER,5.32,4.35,5.47
SPEAKERPHONE,5.0,3.18,5.26
SPEAR,4.43,4.7,5.0
SPEC,4.5,3.87,5.11
SPECIAL,7.5,3.48,6.72
SPECIALIST,5.52,4.27,6.1
SPECIALIZE,6.23,4.77,6.29
SPECIALTY,5.48,3.7,6.05
SPECIES,5.26,3.73,4.31
SPECIFIC,5.48,2.55,5.89
SPECIFY,5.53,3.64,5.22
SPECIMEN,4.4,3.24,4.84
SPECK,4.33,3.95,4.41
SPECKLED,5.78,4.45,5.64
SPECS,5.16,2.95,5.61
SPECTACLE,5.61,4.4,5.0
SPECTACULAR,7.5,6.65,6.04
SPECTATOR,5.58,3.44,4.35
SPECTRAL,5.53,4.95,4.11
SPECTRUM,6.65,3.05,4.82
SPECULATE,5.63,4.53,5.08
SPECULATION,4.67,4.75,5.29
SPEECH,5.62,4.1,6.68
SPEECHLESS,4.53,3.45,4.45
SPEED,6.71,6.8,6.58
SPEEDBOAT,7.0,5.65,5.87
SPEEDING,3.68,6.14,6.18
SPEEDWAY,6.05,5.38,5.57
SPEEDY,5.9,5.1,6.16
SPELL,6.18,4.15,6.58
SPELLING,5.75,3.62,6.53
SPEND,5.91,4.48,5.88
SPENDER,5.38,4.43,4.84
SPERM,5.47,4.86,4.43
SPEW,3.37,5.0,5.39
SPHERE,6.21,4.0,5.6
SPHINCTER,4.37,4.0,4.11
SPHINX,6.05,4.9,5.27
SPIC,3.37,4.57,4.59
SPICE,6.55,4.06,6.0
SPICY,6.32,6.63,5.55
SPIDER,3.35,6.91,3.74
SPIFFY,6.35,4.5,5.85
SPIKE,4.23,5.35,5.42
SPILL,3.63,3.74,4.5
SPIN,4.9,3.68,4.92
SPINACH,5.81,3.43,5.46
SPINAL,3.78,4.35,4.72
SPINDLE,4.44,3.55,5.21
SPINE,5.33,3.14,5.52
SPINELESS,2.95,4.57,4.1
SPINNER,4.58,4.55,5.29
SPINSTER,4.14,4.0,4.71
SPIRAL,6.4,5.0,4.46
SPIRIT,7.0,5.03,6.38
SPIRITED,7.57,5.21,7.14
SPIRITUAL,5.82,4.82,6.3
SPIRITUALITY,7.26,3.1,6.7
SPIT,3.0,3.57,4.36
SPITEFUL,2.89,4.71,5.13
SPITFIRE,5.18,5.42,5.5
SPITTOON,3.39,3.95,4.72
SPLASH,6.53,4.8,5.96
SPLAT,3.79,5.0,4.7
SPLATTER,4.57,5.37,4.54
SPLEEN,4.47,3.55,4.92
SPLENDID,7.62,3.86,6.69
SPLENDOR,6.95,4.0,6.07
SPLICE,4.74,3.67,5.0
SPLINT,3.58,3.25,5.0
SPLINTER,3.15,4.5,5.67
SPLIT,4.5,5.55,5.79
SPOIL,2.83,4.09,4.11
SPOILS,3.42,4.76,4.74
SPOKESMAN,4.9,2.9,5.24
SPOKESPERSON,4.95,3.95,5.14
SPONGE,5.45,4.25,6.0
SPONSOR,5.3,4.05,6.74
SPONSORSHIP,5.71,4.95,6.8
SPONTANEITY,6.45,5.57,6.0
SPONTANEOUS,6.63,5.71,6.13
SPOOK,3.7,5.14,5.0
SPOOKY,4.4,6.0,4.48
SPOOL,5.71,3.37,5.08
SPOON,5.9,3.79,5.18
SPOONFUL,5.29,2.62,5.85
SPORT,6.95,4.7,6.21
SPORTING,6.24,4.4,5.74
SPORTS_CAR,6.67,4.86,5.69
SPORTSMAN,5.89,4.85,5.85
SPORTSMANSHIP,6.3,5.14,6.71
SPORTSWRITER,5.71,4.42,6.0
SPORTY,5.78,4.55,5.0
SPOT,5.12,2.95,4.83
SPOTLESS,6.05,3.5,5.74
SPOTLIGHT,5.74,4.95,5.91
SPOTTER,5.37,3.0,5.24
SPOTTY,4.29,4.0,4.09
SPOUSAL,6.0,4.42,6.21
SPOUSE,7.44,5.76,4.73
SPOUT,5.29,3.14,5.11
SPRAIN,3.11,3.85,3.6
SPRAY,5.06,4.0,6.22
SPREAD,5.57,4.15,6.37
SPREADER,4.17,3.71,5.11
SPREE,5.95,5.0,5.07
SPRING,7.64,5.5,5.9
SPRINGTIME,7.64,4.38,5.43
SPRINKLE,6.72,3.55,5.5
SPRINKLER,5.86,3.29,6.38
SPRINT,5.67,5.9,5.72
SPRITE,6.35,4.32,5.52
SPROUT,5.7,3.59,5.32
SPRUCE,5.55,3.18,4.96
SPUD,5.05,4.05,4.86
SPUNK,6.17,5.2,5.64
SPUNKY,5.55,5.0,7.21
SPUR,5.0,4.48,5.5
SPY,4.68,4.74,3.84
SQUABBLE,3.6,4.06,3.62
SQUAD,5.35,4.33,5.82
SQUADRON,4.4,4.25,4.52
SQUALL,4.32,4.1,4.68
SQUANDER,3.55,3.95,4.82
SQUARE,5.11,3.33,5.3
SQUASH,4.28,3.88,5.24
SQUAT,4.65,4.05,6.15
SQUAW,4.71,5.5,4.81
SQUAWK,5.11,4.0,4.22
SQUEAK,4.95,4.79,4.62
SQUEAKY,4.63,4.22,4.88
SQUEAL,5.14,5.45,4.57
SQUEALER,3.48,6.1,3.92
SQUEAMISH,3.63,5.45,4.47
SQUEEZE,4.85,3.91,6.0
SQUID,4.62,4.04,4.89
SQUINT,4.4,3.71,4.62
SQUIRE,4.67,3.48,5.04
SQUIRM,3.86,5.29,4.2
SQUIRREL,5.71,4.48,5.62
SQUIRT,5.67,4.56,4.79
SQUISH,3.11,4.55,5.08
SQUISHY,5.0,4.43,4.5
STAB,3.05,5.17,4.12
STABILITY,6.18,2.64,6.25
STABILIZE,5.86,3.87,5.62
STABILIZER,5.67,3.1,5.44
STABLE,5.2,3.11,6.33
STACK,5.33,3.33,5.86
STADIUM,5.53,5.25,5.0
STAFF,5.18,4.3,6.26
STAG,5.16,4.5,5.33
STAGE,5.67,3.76,4.5
STAGECOACH,5.11,3.89,5.18
STAGEHAND,4.76,4.09,4.19
STAGGER,3.42,4.38,4.15
STAGNANT,3.05,3.49,4.27
STAIN,3.0,4.27,4.61
STAINLESS,5.85,3.36,5.56
STAIR,5.14,4.4,5.67
STAIRCASE,5.2,3.3,5.64
STAIRS,5.48,3.59,5.57
STAIRWAY,5.62,3.44,5.17
STAIRWELL,5.67,2.96,5.78
STAKE,4.78,3.42,4.52
STAKEOUT,4.43,5.9,6.24
STALE,3.62,2.68,4.67
STALEMATE,3.8,2.78,3.29
STALK,3.89,5.36,3.61
STALKER,2.55,5.82,4.04
STALL,4.32,2.9,5.26
STALLION,6.35,4.77,6.56
STAMINA,6.55,4.62,6.33
STAMP,5.8,3.45,6.69
STAMPEDE,4.48,6.2,3.69
STANCE,6.1,2.86,6.14
STAND,5.27,3.1,5.89
STANDARD,4.76,3.61,5.14
STANDARDIZED,4.48,3.65,4.46
STANDBY,4.68,3.28,4.06
STANDOFF,3.37,4.43,5.21
STANDPOINT,5.1,4.17,5.21
STANDSTILL,4.74,3.18,4.25
STANDUP,6.0,4.32,5.82
STAPH,2.6,4.0,3.5
STAPLE,5.0,4.48,4.76
STAPLER,5.25,3.29,6.42
STAR,7.47,5.5,5.82
STAR_FRUIT,6.27,3.43,6.25
STARBOARD,5.42,4.11,5.41
STARCH,4.95,3.9,6.52
STARDOM,5.85,5.45,6.68
STARDUST,6.84,4.4,4.95
STARE,4.45,4.68,6.38
STARFISH,6.53,4.23,5.79
STARLET,6.26,4.18,5.61
STARLIGHT,7.68,4.91,5.0
STARLING,5.53,4.32,5.91
STARRY,7.4,3.96,5.59
STARSHIP,6.32,4.83,5.41
START,6.41,4.81,5.5
STARTER,5.71,4.0,5.58
STARTLE,4.65,4.4,4.55
STARTLED,4.53,5.67,3.43
STARTLING,5.17,5.23,4.64
STARVATION,1.72,5.45,3.81
STARVE,2.53,4.0,3.12
STARVING,2.86,5.1,4.86
STASH,5.24,4.64,5.77
STAT,4.86,3.76,5.11
STATE,5.73,3.29,5.65
STATELY,5.05,3.1,5.27
STATEMENT,5.32,3.7,6.89
STATEROOM,5.64,3.63,5.19
STATESIDE,4.84,3.77,4.89
STATESMAN,4.58,2.89,4.92
STATIC,4.41,3.33,4.45
STATION,5.5,3.0,4.61
STATIONARY,5.45,2.72,5.9
STATIONERY,5.6,3.06,6.14
STATISTIC,4.55,4.5,5.74
STATISTICAL,5.1,3.19,4.92
STATUE,5.95,2.82,4.95
STATURE,5.7,3.57,5.89
STATUS,4.89,3.83,5.28
STATUTE,5.18,3.65,5.67
STATUTORY,4.37,5.0,4.32
STAY,6.14,3.14,5.71
STD,1.95,5.36,3.42
STEAD,5.32,2.76,5.54
STEADFAST,6.68,3.95,6.77
STEADY,6.67,3.0,6.42
STEAK,6.2,3.63,6.04
STEAKHOUSE,6.94,3.95,5.48
STEAL,2.17,5.3,3.0
STEALING,2.75,4.57,5.5
STEALTH,5.45,4.22,5.15
STEAM,5.4,4.0,4.84
STEAMBOAT,5.52,5.14,5.6
STEAMER,4.91,3.73,5.54
STEAMING,5.05,3.56,6.25
STEAMSHIP,5.91,4.5,5.38
STEAMY,6.39,5.71,5.79
STEEL,4.95,3.86,5.68
STEEP,5.32,4.95,5.04
STEEPLE,5.62,3.04,4.89
STEER,5.68,5.05,5.94
STEERING,4.9,3.22,7.29
STELLAR,5.95,4.33,6.12
STEM,5.1,3.47,6.19
STENCH,2.62,4.53,3.47
STENOGRAPHER,4.95,3.81,4.95
STEP,5.68,3.48,6.0
STEPDAUGHTER,5.47,3.55,4.88
STEPFATHER,3.72,3.59,3.79
STEPMOTHER,3.67,3.69,4.17
STEPS,4.95,3.0,6.17
STEPSON,4.81,3.65,4.57
STEREO,7.1,4.04,6.81
STEREOTYPE,3.33,4.26,3.81
STERILE,4.57,4.47,4.95
STERILIZE,5.59,4.24,6.64
STERLING,5.89,5.32,5.64
STERN,3.9,3.91,5.58
STERNUM,4.45,3.71,4.7
STEROID,3.62,5.21,5.05
STETHOSCOPE,5.14,4.56,5.24
STEW,5.86,2.95,5.36
STEWARD,5.06,2.57,5.64
STEWARDESS,5.9,4.14,4.97
STICK,5.27,3.81,5.82
STICKER,5.57,4.05,5.52
STICKLER,3.74,3.82,5.22
STICKUP,2.95,6.09,3.24
STICKY,4.65,4.75,5.19
STIFF,4.29,4.0,4.95
STIGMA,3.9,5.24,4.62
STILLNESS,5.19,2.78,5.25
STIMULANT,6.0,5.95,5.41
STIMULATE,7.38,6.0,7.14
STIMULATING,6.84,6.3,6.2
STIMULATION,5.14,4.71,5.3
STIMULUS,5.63,4.7,6.21
STING,2.55,4.88,3.45
STINGER,3.9,4.96,4.36
STINGING,3.57,6.47,4.47
STINGY,2.53,4.73,4.54
STINK,2.35,4.48,4.76
STINKER,3.3,4.0,3.8
STINKY,3.16,3.76,4.29
STINT,4.57,3.33,5.65
STIPEND,6.05,3.77,4.41
STIPULATE,4.86,4.11,5.71
STIR,5.35,3.05,6.71
STITCH,4.95,3.36,5.11
STITCHING,4.68,3.52,5.45
STOCK,5.5,3.5,4.62
STOCKADE,2.67,4.67,4.36
STOCKBROKER,4.05,3.1,5.44
STOCKHOLDER,4.9,3.5,4.4
STOCKING,5.33,4.08,5.0
STOCKINGS,6.21,4.81,4.81
STOCKPILE,5.53,4.55,5.5
STOCKROOM,4.86,3.26,5.62
STOIC,4.47,3.29,6.04
STOMACH,4.53,3.76,5.4
STOMACHACHE,2.16,5.21,4.1
STOMP,3.9,4.82,6.44
STONE,4.81,3.25,7.26
STONEWALL,4.58,3.7,5.24
STONY,4.53,4.09,4.96
STOOGE,3.3,3.75,3.55
STOOL,4.47,2.39,5.2
STOOP,4.67,3.17,4.29
STOP,4.73,4.14,5.06
STOPOVER,4.5,3.43,5.33
STOPPER,4.65,4.35,5.74
STOPWATCH,5.05,4.05,6.21
STORAGE,4.95,3.68,6.23
STORE,5.94,3.43,5.44
STOREFRONT,5.76,3.0,5.22
STOREROOM,5.43,2.9,5.68
STORM,5.74,5.86,3.72
STORMY,5.14,6.52,4.53
STORY,7.27,3.52,5.33
STORYBOOK,6.76,3.4,6.32
STORYTELLER,6.67,4.29,5.9
STORYTELLING,7.0,4.4,6.18
STOUT,5.29,3.35,4.86
STOVE,5.63,3.82,6.08
STOW,5.0,2.9,5.04
STOWAWAY,4.35,4.23,4.83
STRADDLE,5.62,5.0,5.15
STRAIGHTEN,6.26,3.0,5.88
STRAIGHTFORWARD,6.14,4.04,6.3
STRAIN,3.71,4.78,4.08
STRAITJACKET,2.71,5.1,3.97
STRAND,5.0,3.27,5.15
STRANGE,4.72,3.5,5.28
STRANGER,4.09,5.8,4.84
STRANGLE,3.0,5.43,3.62
STRANGULATION,2.79,5.5,3.21
STRAP,5.1,4.23,5.71
STRAPLESS,5.65,5.25,5.33
STRAPPING,4.77,4.77,5.63
STRATEGIC,6.57,4.32,6.29
STRATEGIST,5.29,5.15,5.76
STRATEGY,5.95,4.15,6.67
STRATOSPHERE,5.52,4.19,4.48
STRAW,5.89,2.35,5.24
STRAWBERRY,7.25,4.05,5.54
STRAY,4.14,3.71,5.68
STREAK,5.37,4.5,5.3
STREAM,6.9,4.35,5.09
STREAMLINE,5.3,3.64,5.84
STREET,5.07,3.45,5.41
STREETCAR,5.44,3.75,5.24
STREETLIGHT,4.9,3.78,5.38
STRENGTH,6.73,5.3,7.42
STRENGTHEN,7.21,4.7,6.0
STRENUOUS,4.14,5.14,4.65
STREP,2.77,4.21,3.48
STRESS,1.79,4.72,3.85
STRESSFUL,2.62,5.65,3.97
STRETCH,5.0,4.73,6.23
STRETCHER,3.1,3.82,5.04
STRICKEN,2.79,4.59,3.25
STRICT,3.65,4.5,5.27
STRIDE,5.81,4.1,5.1
STRIFE,3.68,4.17,4.18
STRIKE,3.06,5.52,3.28
STRIKEOUT,3.16,4.9,4.78
STRIKER,3.73,5.72,5.3
STRING,5.25,3.8,5.62
STRINGS,5.28,2.58,5.0
STRINGY,4.05,4.27,4.84
STRIP,4.68,5.27,5.81
STRIPE,5.24,3.67,5.21
STRIPED,4.81,4.38,4.86
STRIPPER,5.19,5.57,5.0
STRIPTEASE,5.32,6.8,5.45
STRIVE,6.32,4.62,6.35
STROKE,4.19,4.95,4.19
STROLL,6.25,3.22,6.82
STROLLER,5.75,3.22,5.68
STRONG,6.81,5.14,6.54
STRONGHOLD,5.44,3.95,5.04
STRUCTURAL,5.6,3.67,5.27
STRUCTURE,5.68,4.0,5.83
STRUDEL,6.11,3.7,5.46
STRUGGLE,3.0,5.9,3.67
STRUT,5.6,5.46,6.39
STUB,3.89,3.86,4.05
STUBBORN,3.74,4.13,5.0
STUBBORNNESS,3.61,4.74,5.85
STUBBY,4.5,4.14,5.3
STUD,4.89,5.14,5.05
STUDENT,6.41,4.25,6.79
STUDIO,6.24,4.79,5.57
STUDY,5.78,2.55,5.33
STUFF,5.86,3.52,4.83
STUFFED_ANIMAL,7.21,2.77,6.39
STUFFY,3.73,4.61,4.53
STUMBLE,3.76,4.76,4.2
STUMP,4.62,3.85,4.54
STUN,4.55,5.5,4.19
STUNNER,5.76,4.5,5.85
STUNNING,6.24,6.5,5.81
STUNT,4.95,4.81,4.4
STUNTMAN,5.95,6.3,4.92
STUPENDOUS,6.95,4.57,6.38
STUPID,2.84,4.34,4.03
STUPIDITY,2.71,4.5,4.32
STURDY,6.19,3.27,6.62
STUTTER,2.95,4.48,4.72
STYLE,6.81,4.6,7.47
STYLING,5.7,3.72,6.41
STYLISH,5.68,4.27,6.07
STYLIST,6.0,3.32,5.56
SUAVE,5.43,3.14,6.04
SUB,5.0,3.35,5.45
SUBATOMIC,5.53,4.57,3.89
SUBCOMMITTEE,5.1,4.15,4.9
SUBCONSCIOUS,5.5,4.0,3.72
SUBDIVISION,4.74,3.25,4.96
SUBDUE,3.17,3.3,6.0
SUBDUED,3.58,2.95,4.57
SUBDURAL,4.4,3.09,4.96
SUBJECT,5.33,4.2,6.37
SUBJECTIVE,5.86,3.56,5.21
SUBLET,5.27,4.21,5.19
SUBLEVEL,4.95,3.32,4.56
SUBLIME,5.95,3.82,5.21
SUBLIMINAL,5.19,4.17,3.78
SUBMARINE,6.0,4.24,4.61
SUBMERGE,4.47,4.14,4.82
SUBMERSIBLE,4.5,4.32,4.83
SUBMISSION,4.6,4.29,4.97
SUBMISSIVE,4.67,3.32,4.47
SUBMIT,3.9,3.91,4.43
SUBORDINATE,4.44,3.09,3.46
SUBPOENA,2.64,5.0,2.67
SUBSCRIBE,5.43,4.26,6.23
SUBSCRIBER,5.71,2.95,4.82
SUBSCRIPTION,5.29,3.05,5.86
SUBSEQUENT,5.16,4.0,5.22
SUBSERVIENT,3.67,3.5,4.25
SUBSIDE,5.42,3.1,5.0
SUBSIDIARY,4.8,3.38,5.74
SUBSPACE,4.45,3.73,5.2
SUBSTANCE,4.29,3.62,5.75
SUBSTANDARD,3.33,3.91,3.67
SUBSTANTIAL,6.14,5.0,6.62
SUBSTANTIATE,5.37,3.52,5.45
SUBSTATION,4.43,3.29,5.0
SUBSTITUTE,4.91,3.59,5.25
SUBSTITUTION,4.95,3.24,5.6
SUBTERRANEAN,4.75,5.1,4.88
SUBTEXT,4.53,3.71,4.2
SUBTITLE,5.41,3.25,5.67
SUBTLE,5.62,3.37,5.09
SUBTLETY,4.6,3.85,5.3
SUBTRACT,4.25,3.96,6.1
SUBURB,5.52,4.25,5.71
SUBURBAN,5.85,3.41,5.69
SUBURBIA,5.52,3.75,5.05
SUBVERSIVE,4.1,4.41,5.33
SUBWAY,5.44,4.41,4.68
SUCCEED,7.05,6.71,6.1
SUCCESS,7.49,5.8,6.38
SUCCESSFUL,7.76,5.08,7.71
SUCCESSION,4.52,3.74,5.89
SUCCESSOR,6.11,4.59,5.9
SUCCUBUS,3.67,4.68,4.05
SUCCULENT,6.5,5.64,5.89
SUCK,3.71,5.6,5.47
SUCKER,4.0,4.74,4.17
SUCTION,4.25,3.81,4.88
SUDS,5.24,3.73,5.5
SUE,2.18,6.15,5.58
SUEDE,5.36,2.75,5.71
SUFFER,2.05,4.5,3.32
SUFFICE,5.52,3.25,6.19
SUFFICIENT,6.1,3.17,6.0
SUFFOCATE,2.62,6.09,3.48
SUFFOCATION,2.44,5.0,3.17
SUGAR,6.56,5.29,6.32
SUGGEST,5.55,3.75,5.84
SUGGESTION,5.79,4.18,6.41
SUGGESTIVE,4.95,4.44,5.68
SUICIDAL,2.15,4.91,3.24
SUICIDE,1.58,6.21,4.21
SUIT,5.89,3.05,5.17
SUITABLE,5.7,3.0,6.16
SUITCASE,5.25,3.24,5.5
SUITE,7.05,3.61,6.16
SUITOR,5.63,3.67,5.58
SULFATE,4.63,3.67,4.91
SULFUR,4.5,3.86,5.0
SULK,3.22,3.3,3.68
SULLEN,2.84,4.52,4.57
SULLY,3.89,4.05,4.45
SULTAN,4.48,3.48,4.94
SUM,5.71,3.1,5.88
SUMMARIZE,4.89,2.8,6.4
SUMMARY,5.05,3.29,6.09
SUMMATION,4.85,4.15,5.19
SUMMER,7.5,5.48,6.61
SUMMERHOUSE,7.3,4.82,5.71
SUMMERTIME,6.74,5.32,6.5
SUMMIT,5.5,4.35,4.45
SUMMON,5.58,4.67,6.04
SUMMONS,3.6,5.14,3.84
SUMO,4.45,3.71,5.48
SUN,6.92,4.64,4.98
SUNBURN,2.76,4.45,4.12
SUNDAE,7.76,4.79,5.8
SUNDIAL,5.95,3.22,5.19
SUNDOWN,6.21,3.71,4.4
SUNFLOWER,6.45,3.05,6.15
SUNGLASSES,6.72,3.67,5.83
SUNKEN,4.42,3.95,4.0
SUNLIGHT,7.46,4.44,6.12
SUNNY,7.95,5.38,5.11
SUNRISE,7.35,4.68,5.95
SUNROOF,6.47,3.24,6.17
SUNSCREEN,5.77,3.95,5.89
SUNSET,7.46,4.68,5.32
SUNSHINE,8.14,5.32,5.43
SUNTAN,6.05,4.25,5.39
SUNUP,5.71,3.28,5.21
SUP,5.53,4.3,5.26
SUPER,7.05,4.25,6.91
SUPERB,7.0,4.33,6.64
SUPERFICIAL,3.79,4.2,4.62
SUPERFLUOUS,4.53,4.45,4.58
SUPERHERO,6.89,6.0,5.83
SUPERHUMAN,6.67,4.73,6.33
SUPERINTENDENT,4.86,3.24,5.16
SUPERIOR,6.37,4.74,5.95
SUPERIORITY,4.95,5.48,6.81
SUPERMAN,6.52,5.17,5.11
SUPERMARKET,6.37,4.65,5.28
SUPERMODEL,5.53,6.09,5.18
SUPERNATURAL,6.05,5.9,4.0
SUPERNOVA,6.58,5.5,3.5
SUPERPOSITION,4.42,3.5,5.29
SUPERPOWER,7.14,5.76,5.81
SUPERSTAR,5.94,4.85,5.42
SUPERSTITION,4.84,6.14,5.45
SUPERSTITIOUS,4.75,5.95,4.89
SUPERSTORE,6.24,4.43,4.75
SUPERVISE,5.05,4.0,6.1
SUPERVISION,4.26,5.05,4.55
SUPERVISOR,4.28,4.05,5.55
SUPPER,6.72,3.6,5.64
SUPPERTIME,6.43,4.57,6.61
SUPPLE,5.76,4.09,5.7
SUPPLEMENT,5.43,3.22,5.22
SUPPLEMENTAL,5.59,3.64,6.05
SUPPLIER,4.84,3.45,5.04
SUPPLY,5.11,3.28,5.24
SUPPORT,6.89,3.05,6.11
SUPPORTER,6.05,4.41,6.32
SUPPORTIVE,6.95,3.83,6.58
SUPPOSE,5.27,3.33,5.11
SUPPOSED,5.41,3.48,5.24
SUPPRESS,2.72,3.55,4.55
SUPPRESSION,3.68,3.17,4.29
SUPREMACY,3.48,4.26,5.57
SUPREME,6.14,4.28,6.11
SURE,6.64,3.48,6.82
SURF,6.05,5.57,5.18
SURFACE,5.62,3.04,5.16
SURFBOARD,5.53,3.75,4.8
SURFER,5.47,5.38,5.74
SURGE,5.0,5.22,5.92
SURGEON,5.05,5.78,5.0
SURGERY,3.18,5.55,3.2
SURGICAL,3.95,5.0,3.75
SURLY,3.9,3.8,4.95
SURNAME,5.1,3.68,5.76
SURPLUS,5.68,3.6,6.58
SURPRISE,7.44,6.57,5.17
SURPRISED,6.57,5.95,4.72
SURPRISING,6.75,5.65,3.77
SURREAL,6.65,5.11,5.12
SURRENDER,3.73,4.58,3.88
SURROGATE,5.27,4.27,4.5
SURROUND,5.42,3.32,4.43
SURROUNDINGS,6.37,3.43,5.7
SURVEILLANCE,3.35,4.85,5.48
SURVEY,5.55,3.68,6.93
SURVIVAL,7.05,5.4,5.86
SURVIVE,6.9,4.53,6.21
SURVIVOR,6.68,4.81,6.25
SUSCEPTIBLE,3.67,5.19,4.0
SUSHI,6.25,5.84,5.81
SUSPECT,2.39,4.57,3.22
SUSPEND,4.32,4.87,4.68
SUSPENSE,5.26,5.84,4.95
SUSPENSION,4.35,4.57,5.46
SUSPICION,3.33,6.04,4.95
SUSPICIOUS,3.48,5.0,3.95
SUSTAIN,5.68,3.73,6.45
SUSTENANCE,6.0,3.28,6.12
SUTURE,4.36,4.63,4.65
SUV,4.75,3.48,5.11
SWAB,4.7,2.56,5.27
SWAG,5.37,4.33,5.94
SWALLOW,5.57,3.78,5.72
SWAMI,4.11,4.05,4.25
SWAMP,4.42,3.33,4.12
SWANK,4.84,4.14,5.27
SWAP,5.24,3.7,5.12
SWARM,3.76,6.26,3.92
SWASTIKA,2.33,5.26,3.35
SWAT,4.38,6.21,5.24
SWAY,5.25,3.68,6.15
SWEAR,3.44,5.05,4.11
SWEAT,4.38,5.1,4.69
SWEATER,6.19,2.8,5.95
SWEATSHIRT,6.24,2.56,5.05
SWEATSHOP,2.53,5.95,3.39
SWEATY,3.95,4.78,4.53
SWEEP,5.27,3.89,5.76
SWEEPER,5.35,3.23,6.22
SWEET,7.77,4.14,6.12
SWEETEN,6.26,4.71,5.74
SWEETHEART,7.84,5.39,6.76
SWEETIE,7.56,4.35,5.89
SWEETNESS,7.37,4.37,5.92
SWELL,5.05,4.56,5.59
SWERVE,4.33,5.35,4.73
SWIFT,5.83,4.88,6.24
SWIG,4.57,4.48,6.0
SWILL,4.65,3.81,5.24
SWIM,6.71,6.05,6.47
SWIMMER,6.26,4.26,6.48
SWIMMING,7.2,5.13,5.83
SWIMSUIT,6.05,5.8,5.08
SWINDLE,3.0,4.32,4.13
SWINDLER,2.33,4.82,3.86
SWINE,3.11,3.71,4.78
SWING,6.95,4.1,6.16
SWINGER,4.37,5.81,4.96
SWIPE,4.47,3.68,5.0
SWIRL,6.45,4.58,5.12
SWISH,5.79,3.95,5.8
SWITCH,5.29,3.9,6.0
SWITCHBLADE,3.45,5.71,4.44
SWITCHBOARD,4.86,3.65,5.31
SWIVEL,5.26,4.62,5.52
SWOON,5.76,3.83,5.67
SWOOP,5.16,5.62,5.04
SWORD,5.27,5.95,6.0
SWORDFISH,6.15,5.15,5.19
SWORDPLAY,4.94,6.14,4.96
SWORDSMAN,5.25,4.72,4.68
SYCAMORE,6.36,3.68,4.81
SYLLABLE,4.95,2.5,5.7
SYLLABUS,4.86,2.95,4.74
SYMBIOTIC,5.7,4.05,5.16
SYMBOL,5.67,2.77,4.96
SYMBOLIC,6.48,3.74,5.55
SYMBOLISM,6.62,3.52,5.3
SYMBOLIZE,5.75,4.41,6.29
SYMMETRICAL,5.76,3.24,5.05
SYMMETRY,5.27,3.19,6.42
SYMPATHETIC,6.67,3.29,6.3
SYMPATHIZE,6.0,3.73,7.05
SYMPATHY,6.57,3.08,5.9
SYMPHONIC,6.45,6.3,5.69
SYMPHONY,7.15,4.19,5.62
SYMPOSIUM,4.86,4.04,6.0
SYMPTOM,3.33,4.17,5.0
SYMPTOMATIC,4.0,4.13,4.94
SYNAGOGUE,4.85,2.56,4.64
SYNAPSE,5.42,3.95,5.14
SYNAPTIC,4.57,4.25,4.57
SYNC,6.21,3.95,6.13
SYNCHRONIZE,6.26,4.04,6.05
SYNDICATE,4.35,3.06,4.67
SYNDROME,4.33,4.68,3.77
SYNERGY,5.42,4.29,5.39
SYNONYMOUS,5.24,3.41,5.47
SYNTHESIZER,5.16,4.3,5.64
SYNTHETIC,4.76,3.61,5.05
SYPHILIS,2.17,4.59,3.27
SYRINGE,3.05,4.81,5.39
SYRUP,6.44,3.11,5.25
SYSTEM,5.5,3.38,5.65
SYSTEMATIC,4.62,3.52,4.65
TSHIRT,6.43,2.23,5.19
TAB,5.09,4.42,5.71
TABASCO,4.5,5.0,5.62
TABERNACLE,5.65,3.52,5.7
TABLE,5.49,3.0,5.84
TABLECLOTH,5.33,2.81,6.28
TABLET,6.21,3.65,6.1
TABLOID,4.84,3.32,3.93
TABOO,4.53,5.06,3.94
TACK,4.42,2.85,5.0
TACKLE,5.38,4.43,5.2
TACKY,3.68,4.05,4.58
TACO,6.53,4.19,6.13
TACT,5.71,3.95,5.94
TACTFUL,6.18,3.62,6.32
TACTIC,5.7,5.05,6.19
TACTICAL,5.05,4.27,5.46
TAD,5.45,3.68,5.58
TADPOLE,6.0,4.17,5.32
TAFFY,5.95,3.45,5.0
TAG,4.79,3.29,5.88
TAIL,5.3,3.27,5.32
TAILGATE,4.81,4.57,4.8
TAILLIGHT,5.11,3.56,5.53
